日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-09-02,600600,58.85,57.05,58.85,56.93,60986,352801602.0,3.23,-4.04,-2.4,0.86
2024-09-03,600600,57.08,57.83,58.35,56.89,43423,250953234.0,2.56,1.37,0.78,0.61
2024-09-04,600600,57.44,57.16,58.18,57.1,32004,183529876.0,1.87,-1.16,-0.67,0.45
2024-09-05,600600,57.01,57.56,57.63,57.01,28135,161612386.0,1.08,0.7,0.4,0.4
2024-09-06,600600,57.56,56.86,57.58,56.85,30389,173289451.0,1.27,-1.22,-0.7,0.43
2024-09-09,600600,56.27,55.97,56.7,55.8,35823,201117462.0,1.58,-1.57,-0.89,0.51
2024-09-10,600600,55.98,56.07,56.69,55.53,42304,236856605.0,2.07,0.18,0.1,0.6
2024-09-11,600600,55.8,56.62,56.82,55.53,33624,189626733.0,2.3,0.98,0.55,0.47
2024-09-12,600600,56.62,55.48,56.98,55.4,35246,197758199.0,2.79,-2.01,-1.14,0.5
2024-09-13,600600,55.4,53.96,55.7,53.94,57467,313861000.0,3.17,-2.74,-1.52,0.81
2024-09-18,600600,53.8,54.46,54.54,53.2,51236,275924273.0,2.48,0.93,0.5,0.72
2024-09-19,600600,54.46,56.41,56.85,54.13,94270,527746294.0,4.99,3.58,1.95,1.33
2024-09-20,600600,56.51,57.53,57.73,55.85,73297,417923333.0,3.33,1.99,1.12,1.03
2024-09-23,600600,57.45,56.91,58.54,56.89,43815,252249655.0,2.87,-1.08,-0.62,0.62
2024-09-24,600600,57.81,59.46,59.46,56.94,85542,500356032.0,4.43,4.48,2.55,1.21
2024-09-25,600600,60.2,59.57,61.5,59.48,91087,552199202.0,3.4,0.18,0.11,1.28
2024-09-26,600600,59.58,65.53,65.53,59.4,190696,1204869097.0,10.29,10.01,5.96,2.69
2024-09-27,600600,68.5,71.23,71.25,67.94,153223,1067899557.0,5.05,8.7,5.7,2.16
2024-09-30,600600,75.0,78.35,78.35,74.0,225072,1728525070.0,6.11,10.0,7.12,3.17
